video_current_time,pause_time
0,0
514,0
515,0
528,0
17,88.0
870,377.0
1047,137.0
26,0
28,0
544,0
545,0
547,0
550,0
39,0
556,0
49,0
562,0
54,0
57,0
65,0
68,0
1608,0
1610,0
1099,0
79,0
1621,0
86,0
1117,0
98,0
1124,0
101,0
102,0
1041,0
104,0
617,0
1648,0
113,0
626,0
119,0
1659,0
1669,0
139,0
143,0
145,0
661,0
154,0
160,0
673,38.0
678,0
172,0
175,0
1224,6.0
185,0
186,0
189,0
196,1.0
198,0
711,0
200,0
716,0
205,0
210,0
211,0
212,0
213,0
1238,0
222,2.0
223,0
227,0
231,0
244,0
247,0
251,0
259,0
1804,0
274,0
1302,0
1697,0
1073,763.0
1324,0
303,0
310,21.0
312,0
324,0
325,0
327,0
330,0
331,0
332,0
1679,0
1374,0
352,0
354,0
355,146.0
356,0
358,0
876,224.0
369,0
372,0
374,0
380,0
393,0
405,0
408,334.0
412,0
414,0
430,301.0
1011,0
1268,0
444,0
455,0
459,0
486,0
1000,2.0
494,0
496,6.0
1009,61.0
499,0
1015,0
508,0
510,2.0
