video_current_time,pause_time
0,0
1,0
3,0
513,0
9,7287.0
11,0
526,0
1049,0
27,0
28,0
41,0
42,0
47,0
48,0
1586,0
1587,0
55,0
58,0
1596,0
63,0
65,0
66,0
73,0
1098,0
77,0
590,0
269,0
80,25.0
83,0
597,0
1623,0
90,0
95,0
611,0
613,1182.0
102,0
615,0
616,12.0
617,0
106,0
620,0
621,246.0
622,46516.5
623,0
112,0
628,0
119,0
123,0
124,0
125,0
1663,0
128,31.5
130,0
133,0
135,0
137,0
143,0
147,0
1646,0
662,0
1561,0
153,4729.5
1690,0
670,0
671,0
161,0
170,0
172,0
173,0
174,2.5
177,5.0
183,0
1720,0
191,7.5
200,156.0
1744,0
214,0
222,0
739,0
740,0
742,0
1261,0
383,247.5
1780,0
1406,0
758,0
248,5.0
1787,0
764,0
765,0
254,116.25
1494,0
1804,0
1805,0
270,0
289,0
1159,0
306,0
308,58.5
734,133.5
823,0
315,34.5
1342,0
852,0
854,0
1252,0
347,0
1372,0
1373,0
870,0
363,0
382,153.0
149,0
389,0
394,22.5
397,22.5
1422,0
1292,0
411,0
417,208.5
1442,0
1443,0
1480,0
1453,0
947,0
1460,0
442,0
444,0
1471,0
455,0
968,0
1482,0
1483,0
1484,0
470,0
474,0
79,0
1500,0
101,126.0
481,0
494,51.0
1522,0
499,0
501,0
510,0
