video_code,video_id
GSYhvQVI_dE,i4x-Engineering-CS145-video-vid-triggers_demo_part_2
HSnwW5Punm0,i4x-Engineering-CS145-video-vid-indexes-slice2
IJPXosPGLTU,i4x-Engineering-CS145-video-vid-subqueries_in_where
JDEuWknPPcM,i4x-Engineering-CS145-video-vid-authorization-slice3
Jfy0gNNg2qk,i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3
JhBcTX4U2hs,i4x-Engineering-CS145-video-vid-nosql_overview
MXjCExmMsaI,i4x-Engineering-CS145-video-vid-boyce-codd_normal_form-slice3
O2wYl9UHFNc,i4x-Engineering-CS145-video-vid-transactions_properties-slice1
Pqw61QtOk24,i4x-Engineering-CS145-video-vid-nonlinear_mutual_recursion-slice1
SSio_jhAmzg,i4x-Engineering-CS145-video-vid-relational_design_overview-slice2
SYIHyXJG29M,i4x-Engineering-CS145-video-vid-relational_algebra_part_1-slice3
TZbPo9nfsXw,i4x-Engineering-CS145-video-vid-olap-slice2
TjZLdJvm3to,i4x-Engineering-CS145-video-vid-json_demo
TroKfazVhwM,i4x-Engineering-CS145-video-vid-relational_algebra_part_2-slice2
VXRhir7GQpQ,i4x-Engineering-CS145-video-vid-relational_algebra_part_2-slice3
Y7Qlc7f_u0o,i4x-Engineering-CS145-video-vid-indexes-slice1
Yceqbp_DKbA,i4x-Engineering-CS145-video-vid-basic_recursive_with_statement
bVg442ixI6k,i4x-Engineering-CS145-video-vid-relational_algebra_part_1-slice2
bycjnyo6x1Y,i4x-Engineering-CS145-video-vid-functional_dependencies-slice1
cCZquWgw8IM,i4x-Engineering-CS145-video-vid-olap_demo
cVQUvZh64Y8,i4x-Engineering-CS145-video-vid-relational_algebra_part_1-slice1
cda1c2SO_9I,i4x-Engineering-CS145-video-vid-view_modifications_introduction-slice2
dVnWxS2T5zY,i4x-Engineering-CS145-video-vid-materialized_views-slice3
e8aoiUL3ALg,i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice4
eSKr7URoVTM,i4x-Engineering-CS145-video-vid-referential_integrity-slice2
eVa98I9CALs,i4x-Engineering-CS145-video-vid-relational_design_overview-slice4
i3xwZw5VRMs,i4x-Engineering-CS145-video-vid-triggers_demo_part_1
iKGbo9ifTyw,i4x-Engineering-CS145-video-vid-isolation_levels-slice4
jFiUUEPNVa8,i4x-Engineering-CS145-video-vid-isolation_levels-slice3
jcl0unn73RY,i4x-Engineering-CS145-video-vid-olap-slice1
kaI9rQ6e7xQ,i4x-Engineering-CS145-video-vid-motivation_and_overview
lutlvfe8YHU,i4x-Engineering-CS145-video-vid-json_introduction-slice1
mYEc-5-C4bo,i4x-Engineering-CS145-video-vid-shortcomings_of_bcnf_and_4nf
