video_current_time,pause_time
0,0
1152,0
1496,0
150,0
193,0
1416,0
521,0
87,0
399,0
1169,0
1042,0
403,0
532,0
277,0
534,0
151,0
1049,0
175,0
676,0
1072,0
347,0
1188,48.0
308,0
552,0
42,0
1458,0
1070,1.0
1327,0
1200,7.0
562,0
563,0
564,0
1077,0
182,0
1079,0
1076,0
189,0
1214,0
321,10.0
706,0
139,0
54,0
1352,24.0
1100,0
333,37.0
1230,0
1231,0
164,0
632,0
467,0
740,0
1366,1.0
1367,42.0
216,13.0
345,0
1498,0
1499,0
476,0
222,2.0
1376,0
227,0
1380,1.0
229,0
614,0
359,1.0
252,0
364,0
878,5.0
1448,3.0
1394,4.0
627,33.0
1268,0
504,0
1044,0
122,0
379,26.0
124,0
1194,0
380,0
