video_current_time,pause_time
0,0
517,40.0
9,35.0
12,0
16,15.0
18,8.0
531,0
20,5.0
21,0
22,6.0
943,18.0
28,3.0
29,0
773,7.5
38,17.0
39,0
42,14.0
44,12.0
46,11.0
1072,4.0
50,0
53,3.0
1082,0
59,22.0
64,1.0
577,0
1091,0
1092,0
581,166.0
1121,13.0
587,160.0
1112,0
1114,0.0
1040,0
1137,0
626,0
1141,5.0
532,2.0
1146,0
635,0
126,19.0
1152,0
1156,1.0
645,0
651,0
1164,0
654,0
1169,4.0
658,0
659,0
1173,0
154,1.0
155,34.0
1182,0
1184,0
1185,0
162,2.0
1191,0
681,7.0
683,53.0
690,0
183,0
1208,130.0
800,1.5
198,2912.0
199,0
713,32.0
716,0
725,0
1238,70.0
728,24.0
731,0
1244,21.0
890,1.5
736,114.0
1252,0
1253,0
1257,0
234,0
792,3.0
752,102.0
754,3.0
467,0
759,63957.0
248,47.0
1274,9.0
251,0
1276,0
247,0
771,16.5
726,17.0
267,2.0
785,21.0
1299,0
791,1.5
1304,0
281,1.5
283,42.0
284,0
901,0
288,0
289,0
806,1695.0
808,0
306,3.0
1332,35.0
822,1.0
1336,47.0
652,0
1366,16.0
740,64.0
357,0
1387,1.0
1391,28.0
1395,44.0
373,0
489,0
1400,2.0
916,0
378,30.0
894,4.0
384,11.0
897,42.0
386,71.0
899,31.0
1430,5.0
395,2.0
909,10.5
910,0
911,18.0
913,1.5
644,13.0
404,3.0
918,82.0
580,0
1435,6.0
1436,8.0
214,0
421,1.0
423,0
936,0
937,6.0
426,193.0
1455,126.0
945,0
1463,0
953,28.0
955,0
956,0
1470,59.0
961,0
1477,57.0
970,0
971,0
1488,1.0
977,11.0
979,16.0
982,0
985,0
989,4.5
991,0
1513,36.0
1517,0
1009,0
