video_current_time,pause_time
0,0
1154,0
6,0.0
7,0
777,2.0
599,14.0
130,0
1038,10.0
479,0
1168,0
216,0
1171,184.0
532,1.0
1173,8.0
1179,2.0
1180,40.0
541,0.0
542,0.0
288,0
1057,7.5
539,0
549,176.0
294,0
40,1008.0
301,0
814,1.0
559,4.0
560,1.0
562,14.0
51,22.0
564,0.0
565,8.0
566,12.0
1209,8.0
314,0
351,0
1213,0
62,16.0
64,12.0
578,1.0
195,116.0
325,0
199,1.0
585,0
970,4.0
77,22.0
211,2.0
87,28.0
600,18.0
997,1228.0
227,0
33,0
615,1212.0
558,4.0
1129,0
237,0
451,0
369,0
633,0
507,2.0
381,0
