video_current_time,pause_time
0,0
14,0
89,176.0
1063,0
41,123.75
1070,36.25
1075,0
1078,0
569,0
1086,0
63,0
579,0
69,0
583,0
587,0
868,0
607,37.5
1144,0
642,0
1158,0
1473,18.75
649,0
1165,0
1168,0
1169,0
1175,0
1184,0
677,0
1190,0
1191,61.25
694,0
1207,23.75
704,0
708,0
709,1543.5
712,0
120,23.75
1239,0
219,5612.0
743,5.0
1264,0
242,0
1269,142.0
1279,260.0
1281,0
258,6.0
1287,132.0
268,16.25
276,0
1305,31.25
1307,90.0
294,0
809,0
1323,24.0
1325,0
816,170.0
311,0.0
331,0
344,114.0
347,34.0
1373,2.0
1379,180.0
1380,0
870,790.0
1386,0
1389,0
375,39.0
1402,27.5
894,0
1424,4206.0
920,0
1443,12.5
425,64.5
432,0
945,0
440,0
1469,0
961,0
963,0
970,13.75
973,0
977,0
980,0
473,52.5
486,0
1517,0
1023,0
