video_current_time,pause_time
0,0
129,0
642,0
1006,0
1030,54.0
145,21.0
393,0
1428,0
907,0
793,0
781,0
857,0
527,0
913,0
1170,0
529,0
149,0
729,0
1079,0
1160,0
287,0
290,0
35,0
1061,0
934,0
881,0
40,0
1066,0
1582,0
176,0
1457,0
690,0
310,0
567,0
56,0
185,0
827,0
60,0
829,0
1194,0
451,0
1092,0
1334,0
74,0
1355,0
738,0
1102,26.0
1104,0
977,0
514,0
1491,0
601,0
735,0
994,0
103,0
1257,0
234,0
1262,0
624,0
680,0
1523,0
244,0
757,0
1142,0
1385,0
404,0
1530,0
1035,0
125,3.0
