video_current_time,pause_time
0,0
128,12.5
1154,0.0
995,18.75
932,0
933,0
166,1407.5
39,0
7,0
973,141.25
1135,1.25
18,0
756,27.5
181,7.5
537,190.0
954,0.0
1499,0
860,51.25
