video_current_time,pause_time
0,0
771,24.0
518,18.0
1089,23.0
648,28.0
649,2.0
654,1316.0
655,0.0
659,52.0
533,12.0
795,82.0
265,3.0
1055,24.0
419,62.0
548,226.0
806,748.0
860,33.0
42,109.0
172,15.0
51,154.0
1204,0
949,0
937,4.0
439,0
313,30.0
571,43.0
1213,0
833,143.0
1091,136.0
326,31.0
183,22.0
1183,11.0
845,16.0
973,86.0
82,91.0
597,45.0
985,56.0
602,62.0
1103,23.0
92,18.0
733,58.0
95,1256.0
1122,39.0
614,111.0
747,21.0
1133,55.0
1007,41.0
113,1.0
626,40.0
1011,40.0
1193,3.0
505,134.0
766,42.0
