video_current_time,pause_time
0,0
389,0
392,30.0
397,17.0
1170,0
531,27.0
535,0
411,0
160,48.0
1188,0
560,22.0
317,0
318,0
447,0
66,1.0
590,0
593,0
206,0
86,28.0
343,0
861,34.0
607,0
1120,0.0
97,0
1126,51.0
486,21.0
1131,0
274,0
1213,0
574,0
630,0
1145,0
1146,0
