video_current_time,pause_time
0,0
515,229.0
389,14.0
648,17.0
393,14.0
12,29.0
398,0
323,104.0
282,25.0
667,98.0
797,7.0
414,15.0
159,20.0
32,51.0
801,6.0
164,14.0
805,38.0
678,5.0
683,8.0
47,1.0
561,132.0
690,6.0
694,311.0
777,19.0
654,4.0
63,33.0
448,51.0
160,1.0
195,13.0
709,116.0
459,20.0
332,26.0
205,50.0
719,226.0
341,9.0
856,12.0
859,0
861,0
94,21.0
353,13.0
830,212.0
487,363.0
743,20.0
366,0
239,295.0
244,6.0
501,123.0
377,17.0
764,53.0
127,41.0
