video_current_time,pause_time
0,0
1665,93.0
770,3.0
1667,3.0
260,84.0
1658,0.0
1,0
778,258.0
1590,1.5
140,0
1037,9.0
270,0
1554,127.5
3,0.0
660,0
278,0
1048,6.0
513,272.0
1435,78.0
1053,0.0
288,0
289,0
930,0
1627,7.5
1701,54.0
1702,279.0
936,6.0
135,0
684,0
687,0
1503,0
1457,18.0
50,82.5
1716,4.5
821,3.0
1448,0
692,0
1722,60.0
1247,84.0
67,0
964,4.5
965,0
199,0
1739,0.0
467,4.0
1656,16.5
1746,30.0
1699,40.5
469,0
470,15.0
216,106.5
1753,27.0
1115,0.0
1530,15.0
1758,3.0
223,63.0
1632,1.5
1634,24.0
1251,3.0
1764,6.0
1638,61.5
614,0
1639,0
1640,22.5
1003,33.0
1644,16.5
753,199.5
1523,0.0
1655,0.0
504,3.0
506,84.0
1659,198.0
1662,6.0
1791,0
