video_current_time,pause_time
0,0
3,82.5
6,0
1036,0
526,0
21,745.5
23,0
542,0
31,6.0
544,3.0
547,0
548,4.5
1067,6.0
1077,81.0
62,0
71,3.0
590,0.0
84,163.5
1111,0
1112,0
1115,0
606,3.0
607,358.5
612,0
617,1.5
1134,39.0
623,1.5
117,10.5
1142,0.0
632,4.5
639,1.5
129,39.0
141,1.5
622,0
156,1.5
691,0
1204,3.0
693,4.5
1208,3.0
704,0.0
1219,0.0
712,45.0
1484,1.5
716,0
720,0
722,0.0
211,22.5
221,1.5
734,36.0
735,136.5
738,0.0
234,57.0
1283,0.0
788,0
278,208.5
796,0
799,0
1317,9.0
1327,1.5
1416,39.0
829,12.0
332,0
847,15.0
850,31.5
1365,1.5
1374,1.5
1387,37.5
1396,0.0
373,3.0
1406,0
897,4.5
386,0
392,1.5
395,1.5
1423,0
1424,28.5
404,1.5
415,1.5
1440,15.0
419,22.5
1449,1.5
429,1.5
432,0
447,1.5
453,25.5
455,0
972,3.0
461,0.0
462,540.0
463,0.0
464,1.5
471,1018.5
472,0.0
481,2992.5
995,0.0
484,3.0
1514,4.5
1012,6.0
1528,0
