video_current_time,pause_time
0,0
8,0
526,215.0
529,0.0
536,68.0
537,1.0
543,6.0
32,32.0
33,727.0
38,56.0
562,14.0
61,65.0
62,1.0
64,5.0
577,20.0
579,8.0
69,122.0
587,45.0
590,0
593,1.0
594,2.0
611,0
596,140.0
599,0
605,0
95,60.0
96,183.0
99,197.0
100,3.0
613,2.0
614,0
104,157.0
105,2.0
625,0
626,0
120,139.0
130,11.0
134,11.0
136,1122.0
140,1188.0
163,458.0
113,1.0
169,66.0
171,148.0
180,7.0
189,128.0
191,18.0
194,1.0
198,0
200,0.0
632,0
213,0
215,434.0
222,7.0
224,1.0
226,0
234,0
236,3.0
240,0
253,583.0
258,0
261,297.0
263,29.0
287,184.0
288,1.0
290,0
296,1.0
298,2.0
78,31.0
306,32.0
374,5.0
576,30.0
414,53.0
421,0
431,10.0
432,0
439,0
450,88.0
453,1.0
456,0.0
457,243.0
462,112.0
469,0
470,0
475,12.0
490,1.0
