video_current_time,pause_time
0,0
1032,0
9,0
531,0
1044,0
1045,8.0
534,0
1049,0
539,0
30,0
549,0
553,0
1067,0
47,102.0
1077,0
54,665.0
1033,0
1085,0
65,0
1091,25.0
580,0
1096,0
76,145.0
98,0
1102,7.0
1106,0
87,0
601,0
610,0
612,0
1130,18.0
957,0
1137,20.0
118,0
1150,0
639,0
141,0
145,0
1174,29.0
663,0
674,0
171,0
1197,0
690,0
180,0
188,0
190,0
191,0
194,49.0
708,2.0
197,89.0
910,0
712,0
460,0
202,0
715,8.0
204,0
717,0
208,17.0
726,878.0
727,0
218,0
224,0
228,0
230,0
242,142.0
127,0
770,0
265,0
1304,0
281,0
1328,0
1333,0
828,32.0
565,0
320,0
330,0
338,0
341,0
346,0
352,0
871,0
1387,45.0
364,0
880,7.0
887,0
377,547.0
899,0
150,0
398,0
402,128.0
921,0
412,1939.0
413,0
932,0
422,0
935,0
842,0
968,0
1100,0
458,0
971,317.0
972,0
974,0
589,0
464,0
466,0
1493,6.0
994,0
484,0
489,0
491,0
1004,0
1527,0
1528,0
