video_current_time,pause_time
0,0
1003,0
1284,16.0
1157,0
390,22.0
10,0
11,0
1257,0
527,1.0
1296,0
17,14.0
1426,8.0
1044,0
790,42.0
919,0
152,1.0
1412,7.0
1502,0
925,2.0
926,0
1313,0
34,0
36,6.0
134,2.0
1193,0
684,18.0
685,1.0
1070,0
175,12.0
1200,15.0
1461,19.0
54,39.0
312,0
953,6.0
1339,22.0
445,46.0
1333,2.0
1345,0
1090,27.0
1091,0
950,6.0
841,10.0
1100,21.0
1486,17.0
464,0
1208,60.0
1236,0
984,65.0
1316,0
474,0
1243,1.0
1372,0
1297,9.0
1445,10.0
1126,60.0
359,21.0
233,0
874,0
745,0
236,0
111,53.0
1524,0
1015,30.0
1528,0
1437,0
763,9.0
1021,0
511,1.0
