wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-05 17:27:38.000000,load_video,None,,,,None,
2014-10-05 17:36:38.000000,load_video,None,,,,None,
2014-10-05 17:36:53.000000,seek_video,,,,0,,onCaptionSeek
2014-10-05 17:36:56.000000,play_video,27.92,,,,27.92,
2014-10-05 17:40:08.000000,pause_video,220.193225,,,,220.193225,
