video_current_time,pause_time
0,0
1,0
387,0
1284,0
773,0
647,0
520,0
395,2.0
396,0
1295,0
145,0
658,0
660,0
921,0
536,0
537,715.0
411,0
546,0
667,0
423,0
936,0
554,0
1031,0
257,0
306,0
816,0
817,0
178,0
820,0
185,0
61,0
447,0
1217,0
1291,0
886,0
72,0.0
1396,0
330,509.0
845,0
974,0
591,0
464,0
355,0
725,0
1366,0
868,0
218,3523.0
263,0
483,0
740,0
485,0
614,0
1127,0
232,0
105,122.0
146,0
238,0
367,0
808,0
114,0
1395,0
500,0
1141,89.0
118,0
1528,0
121,0
575,0
765,0
1278,0
